Year,State / Territory,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals
2020,Alabama,79332,75336,92652,70748,,,,,,,,,318068
2020,Alaska,4706,5466,9939,8560,,,,,,,,,28671
2020,Arizona,33224,37100,82771,59986,,,,,,,,,213081
2020,Arkansas,19126,21445,31651,30575,,,,,,,,,102797
2020,California,96567,95430,164497,122999,,,,,,,,,479493
2020,Colorado,42133,40549,77305,52249,,,,,,,,,212236
2020,Connecticut,15695,16851,23103,12986,,,,,,,,,68635
2020,Delaware,4482,4321,8123,5701,,,,,,,,,22627
2020,District of Columbia,666,551,692,552,,,,,,,,,2461
2020,Florida,110019,116238,192234,128670,,,,,,,,,547161
2020,Georgia,52557,54250,84601,52299,,,,,,,,,243707
2020,Guam,229,245,271,222,,,,,,,,,967
2020,Hawaii,1182,1264,1843,1818,,,,,,,,,6107
2020,Idaho,16541,18476,30989,21747,,,,,,,,,87753
2020,Illinois,612411,620067,645109,632564,,,,,,,,,2510151
2020,Indiana,80283,85107,129016,88276,,,,,,,,,382682
2020,Iowa,22600,20889,24652,26108,,,,,,,,,94249
2020,Kansas,15578,17535,29816,18994,,,,,,,,,81923
2020,Kentucky,367301,398247,235305,205536,,,,,,,,,1206389
2020,Louisiana,23686,24696,42015,31559,,,,,,,,,121956
2020,Maine,7400,7966,14627,11589,,,,,,,,,41582
2020,Mariana Islands,26,15,5,9,,,,,,,,,55
2020,Maryland,13961,15005,29414,20963,,,,,,,,,79343
2020,Massachusetts,18235,18525,23579,7934,,,,,,,,,68273
2020,Michigan,47110,47557,107492,53914,,,,,,,,,256073
2020,Minnesota,56561,61603,96654,75099,,,,,,,,,289917
2020,Mississippi,20420,24788,33583,29581,,,,,,,,,108372
2020,Missouri,43596,48705,76262,58011,,,,,,,,,226574
2020,Montana,9499,10448,16885,14690,,,,,,,,,51522
2020,Nebraska,7021,6616,11154,7517,,,,,,,,,32308
2020,Nevada,11074,13069,22236,18621,,,,,,,,,65000
2020,New Hampshire,10856,10549,22466,14935,,,,,,,,,58806
2020,New Jersey,8313,8548,10922,9072,,,,,,,,,36855
2020,New Mexico,13095,15076,24571,13216,,,,,,,,,65958
2020,New York,32390,31863,59787,27035,,,,,,,,,151075
2020,North Carolina,53819,52252,83077,67465,,,,,,,,,256613
2020,North Dakota,4866,5498,9136,6803,,,,,,,,,26303
2020,Ohio,55784,63156,114086,68812,,,,,,,,,301838
2020,Oklahoma,31908,34408,50194,42054,,,,,,,,,158564
2020,Oregon,31752,33430,59115,44816,,,,,,,,,169113
2020,Pennsylvania,88224,93240,125013,76134,,,,,,,,,382611
2020,Puerto Rico,1911,1819,862,97,,,,,,,,,4689
2020,Rhode Island,2701,2597,6169,3988,,,,,,,,,15455
2020,South Carolina,30365,36085,50953,39327,,,,,,,,,156730
2020,South Dakota,7002,7962,11332,8487,,,,,,,,,34783
2020,Tennessee,53382,57867,88458,77829,,,,,,,,,277536
2020,Texas,129176,142928,274211,197343,,,,,,,,,743658
2020,Utah,80856,83113,101382,96612,,,,,,,,,361963
2020,Vermont,3052,3642,7023,5618,,,,,,,,,19335
2020,Virgin Islands,149,71,122,49,,,,,,,,,391
2020,Virginia,68420,67257,83675,64835,,,,,,,,,284187
2020,Washington,49714,48418,75529,57202,,,,,,,,,230863
2020,West Virginia,17974,20942,26346,22429,,,,,,,,,87691
2020,Wisconsin,38349,41799,77811,55375,,,,,,,,,213334
2020,Wyoming,4984,5500,8847,8566,,,,,,,,,27897
2019,Alabama,44989,46203,51923,41146,43908,42898,51757,69377,56872,63254,77657,100100,690084
2019,Alaska,4582,5233,7136,6505,6376,5557,5298,6796,6106,8281,7213,7840,76923
2019,Arizona,29039,32776,37340,30222,28950,26746,26325,33851,29307,28833,31352,38171,372912
2019,Arkansas,17258,20289,22246,15812,15317,13956,13684,18303,16285,19303,23192,25699,221344
2019,California,98502,96970,123056,114466,111816,115987,89532,99146,95540,96252,92765,106600,1240632
2019,Colorado,38491,40467,46915,39433,36814,34773,33812,38755,35333,37564,39682,47496,469535
2019,Connecticut,16324,15040,18362,15726,14737,14041,13362,13326,12365,12574,13789,13289,172935
2019,Delaware,4119,3682,4985,3807,3694,3204,2873,3547,3356,3982,4258,4920,46427
2019,District of Columbia,360,364,417,409,417,305,375,386,610,933,595,755,5926
2019,Florida,97486,101991,114001,93693,88204,85730,84024,107318,89815,97214,107274,128789,1195539
2019,Georgia,44839,48900,56804,40952,37444,34910,34787,45508,39794,43417,48604,63154,539113
2019,Guam,181,178,195,150,163,181,200,248,209,217,181,294,2397
2019,Hawaii,1068,1032,1129,1212,1105,857,1045,1025,969,1102,923,1199,12666
2019,Idaho,13634,16965,18314,16004,17565,17541,19637,16411,15818,19392,17385,20609,209275
2019,Illinois,331325,190886,376018,405464,381771,373166,439458,491715,483162,478329,450084,548192,4949570
2019,Indiana,160140,71892,98597,106096,292587,273660,61139,74022,72951,77713,80002,81766,1450565
2019,Iowa,16067,15181,20108,15144,12850,10933,11507,11760,12081,16605,20819,19747,182802
2019,Kansas,13767,15224,17353,11933,11538,10622,10662,13227,11473,13324,17643,20244,167010
2019,Kentucky,308573,328572,379268,381411,332076,369622,319270,315348,286064,303650,391747,405291,4120892
2019,Louisiana,21945,24345,25970,19650,19274,17509,17385,23780,23463,24893,28692,35358,282264
2019,Maine,6682,6794,8766,7375,6552,5809,5437,7686,8510,9912,8297,8806,90626
2019,Mariana Islands,25,19,18,15,17,18,13,9,16,16,13,10,189
2019,Maryland,11976,12190,15083,12537,10904,9839,9891,11823,11386,13720,14459,15005,148813
2019,Massachusetts,19812,18604,20670,17738,18007,16256,15272,19189,16991,18059,16649,15069,212316
2019,Michigan,35884,39073,51698,40570,35352,32369,31607,39967,40925,44078,51439,49209,492171
2019,Minnesota,53145,50984,75386,72720,56564,45667,42454,53571,54733,62920,55511,58701,682356
2019,Mississippi,17416,21681,23090,15894,15190,13809,13918,21951,16974,19167,26494,32804,238388
2019,Missouri,36657,42502,51487,35825,34114,32674,31627,42413,36924,44498,51008,58129,497858
2019,Montana,7695,8224,11143,9419,8603,8276,8110,9931,10091,11496,10295,12540,115823
2019,Nebraska,6635,5759,6878,5267,4495,4411,4044,5396,5065,5807,6208,8271,68236
2019,Nevada,10920,11643,13856,10524,9769,9248,8635,10782,9285,10464,10424,12762,128312
2019,New Hampshire,9156,10213,11684,9389,8193,8018,7439,9617,8940,9754,9538,10232,112173
2019,New Jersey,6892,7030,8410,8173,7693,7208,7049,7721,7372,7327,7955,8427,91257
2019,New Mexico,11571,14727,16850,12483,11856,11056,11128,13906,11850,12265,13508,15629,156829
2019,New York,29388,28043,35004,31154,26731,23636,22471,26227,32332,33982,33832,32574,355374
2019,North Carolina,46230,49154,53896,42651,38637,34768,36694,44438,38305,42903,48107,54582,530365
2019,North Dakota,4459,4420,5990,5135,4312,3914,3794,5228,5455,5886,5738,6058,60389
