Month Year,Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Mariana Islands,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Jan-20,Jan,79332,4706,33224,19126,96567,42133,15695,4482,666,110019,52557,229,1182,16541,612411,80283,22600,15578,367301,23686,7400,26,13961,18235,47110,56561,20420,43596,9499,7021,11074,10856,8313,13095,32390,53819,4866,55784,31908,31752,88224,1911,2701,30365,7002,53382,129176,80856,3052,149,68420,49714,17974,38349,4984
Feb-20,Feb,75336,5466,37100,21445,95430,40549,16851,4321,551,116238,54250,245,1264,18476,620067,85107,20889,17535,398247,24696,7966,15,15005,18525,47557,61603,24788,48705,10448,6616,13069,10549,8548,15076,31863,52252,5498,63156,34408,33430,93240,1819,2597,36085,7962,57867,142928,83113,3642,71,67257,48418,20942,41799,5500
Mar-20,Mar,92652,9939,82771,31651,164497,77305,23103,8123,692,192234,84601,271,1843,30989,645109,129016,24652,29816,235305,42015,14627,5,29414,23579,107492,96654,33583,76262,16885,11154,22236,22466,10922,24571,59787,83077,9136,114086,50194,59115,125013,862,6169,50953,11332,88458,274211,101382,7023,122,83675,75529,26346,77811,8847
Apr-20,Apr,70748,8560,59986,30575,122999,52249,12986,5701,552,128670,52299,222,1818,21747,632564,88276,26108,18994,205536,31559,11589,9,20963,7934,53914,75099,29581,58011,14690,7517,18621,14935,9072,13216,27035,67465,6803,68812,42054,44816,76134,97,3988,39327,8487,77829,197343,96612,5618,49,64835,57202,22429,55375,8566
Jan-19,Jan,44989,4582,29039,17258,98502,38491,16324,4119,360,97486,44839,181,1068,13634,331325,160140,16067,13767,308573,21945,6682,25,11976,19812,35884,53145,17416,36657,7695,6635,10920,9156,6892,11571,29388,46230,4459,49856,28793,28668,77420,2368,2093,23546,6803,58167,119902,25082,2417,127,37857,56051,15320,34545,4075
Feb-19,Feb,46203,5233,32776,20289,96970,40467,15040,3682,364,101991,48900,178,1032,16965,190886,71892,15181,15224,328572,24345,6794,19,12190,18604,39073,50984,21681,42502,8224,5759,11643,10213,7030,14727,28043,49154,4420,57518,32166,28726,84567,2406,2105,29811,6992,62785,135931,27648,3172,120,41532,47674,18810,34612,4842
Mar-19,Mar,51923,7136,37340,22246,123056,46915,18362,4985,417,114001,56804,195,1129,18314,376018,98597,20108,17353,379268,25970,8766,18,15083,20670,51698,75386,23090,51487,11143,6878,13856,11684,8410,16850,35004,53896,5990,70826,35704,35949,105892,2554,2640,33312,8174,66433,141056,82398,4054,140,48527,61812,21859,47671,5880
Apr-19,Apr,41146,6505,30222,15812,114466,39433,15726,3807,409,93693,40952,150,1212,16004,405464,106096,15144,11933,381411,19650,7375,15,12537,17738,40570,72720,15894,35825,9419,5267,10524,9389,8173,12483,31154,42651,5135,53819,26528,30299,79853,2427,2175,24607,6581,48624,106112,77263,3236,114,35052,53377,15583,38561,4821
May-19,May,43908,6376,28950,15317,111816,36814,14737,3694,417,88204,37444,163,1105,17565,381771,292587,12850,11538,332076,19274,6552,17,10904,18007,35352,56564,15190,34114,8603,4495,9769,8193,7693,11856,26731,38637,4312,43850,24627,26970,72244,2653,1813,24977,5792,44913,107763,77058,2659,91,30515,53125,13173,30307,4793
Jun-19,Jun,42898,5557,26746,13956,115987,34773,14041,3204,305,85730,34910,181,857,17541,373166,273660,10933,10622,369622,17509,5809,18,9839,16256,32369,45667,13809,32674,8276,4411,9248,8018,7208,11056,23636,34768,3914,42122,23701,25185,66423,2946,1609,23186,5566,44802,101762,69438,2269,109,33543,83436,12841,28507,4447
