Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Race,Race Code,Gender,Gender Code,Deaths,Population,Crude Rate
,1999,1999,Alabama,01,15-24 years,15-24,Black or African American,2054-5,Female,F,10,105156,Unreliable
,1999,1999,Alabama,01,15-24 years,15-24,Black or African American,2054-5,Male,M,92,97850,94.0
,1999,1999,Alabama,01,15-24 years,15-24,White,2106-3,Female,F,18,206268,Unreliable
,1999,1999,Alabama,01,15-24 years,15-24,White,2106-3,Male,M,62,214545,28.9
,1999,1999,Alabama,01,25-34 years,25-34,Black or African American,2054-5,Male,M,48,73316,65.5
,1999,1999,Alabama,01,25-34 years,25-34,White,2106-3,Female,F,22,215681,10.2
,1999,1999,Alabama,01,25-34 years,25-34,White,2106-3,Male,M,60,221625,27.1
,1999,1999,Alabama,01,35-44 years,35-44,Black or African American,2054-5,Female,F,13,96322,Unreliable
,1999,1999,Alabama,01,35-44 years,35-44,Black or African American,2054-5,Male,M,23,79364,29.0
,1999,1999,Alabama,01,35-44 years,35-44,White,2106-3,Female,F,30,249564,12.0
,1999,1999,Alabama,01,35-44 years,35-44,White,2106-3,Male,M,96,251701,38.1
,1999,1999,Alabama,01,45-54 years,45-54,Black or African American,2054-5,Male,M,14,60978,Unreliable
,1999,1999,Alabama,01,45-54 years,45-54,White,2106-3,Female,F,16,224926,Unreliable
,1999,1999,Alabama,01,45-54 years,45-54,White,2106-3,Male,M,67,220012,30.5
,1999,1999,Alabama,01,55-64 years,55-64,White,2106-3,Female,F,12,171646,Unreliable
,1999,1999,Alabama,01,55-64 years,55-64,White,2106-3,Male,M,57,158860,35.9
,1999,1999,Alabama,01,65-74 years,65-74,White,2106-3,Male,M,48,114849,41.8
,1999,1999,Alabama,01,75-84 years,75-84,White,2106-3,Male,M,32,60147,53.2
,1999,1999,Alaska,02,15-24 years,15-24,White,2106-3,Male,M,11,33254,Unreliable
,1999,1999,Alaska,02,35-44 years,35-44,White,2106-3,Male,M,10,47259,Unreliable
,1999,1999,Arizona,04,15-24 years,15-24,American Indian or Alaska Native,1002-5,Male,M,10,25327,Unreliable
,1999,1999,Arizona,04,15-24 years,15-24,Black or African American,2054-5,Male,M,17,15896,Unreliable
,1999,1999,Arizona,04,15-24 years,15-24,White,2106-3,Female,F,19,292674,Unreliable
,1999,1999,Arizona,04,15-24 years,15-24,White,2106-3,Male,M,122,320475,38.1
,1999,1999,Arizona,04,25-34 years,25-34,White,2106-3,Female,F,13,309150,Unreliable
,1999,1999,Arizona,04,25-34 years,25-34,White,2106-3,Male,M,150,336511,44.6
,1999,1999,Arizona,04,35-44 years,35-44,White,2106-3,Female,F,31,333472,9.3
,1999,1999,Arizona,04,35-44 years,35-44,White,2106-3,Male,M,92,342180,26.9
,1999,1999,Arizona,04,45-54 years,45-54,White,2106-3,Female,F,19,279577,Unreliable
,1999,1999,Arizona,04,45-54 years,45-54,White,2106-3,Male,M,68,269979,25.2
,1999,1999,Arizona,04,55-64 years,55-64,White,2106-3,Female,F,16,207334,Unreliable
,1999,1999,Arizona,04,55-64 years,55-64,White,2106-3,Male,M,60,188927,31.8
,1999,1999,Arizona,04,65-74 years,65-74,White,2106-3,Male,M,41,162063,25.3
,1999,1999,Arizona,04,75-84 years,75-84,White,2106-3,Male,M,64,96385,66.4
,1999,1999,Arizona,04,85+ years,85+,White,2106-3,Male,M,12,21135,Unreliable
,1999,1999,Arkansas,05,15-24 years,15-24,Black or African American,2054-5,Male,M,25,38228,65.4
,1999,1999,Arkansas,05,15-24 years,15-24,White,2106-3,Male,M,45,151415,29.7
,1999,1999,Arkansas,05,25-34 years,25-34,Black or African American,2054-5,Male,M,20,26379,75.8
,1999,1999,Arkansas,05,25-34 years,25-34,White,2106-3,Female,F,10,140744,Unreliable
,1999,1999,Arkansas,05,25-34 years,25-34,White,2106-3,Male,M,40,146118,27.4
,1999,1999,Arkansas,05,35-44 years,35-44,White,2106-3,Female,F,12,162907,Unreliable
,1999,1999,Arkansas,05,35-44 years,35-44,White,2106-3,Male,M,52,163900,31.7
,1999,1999,Arkansas,05,45-54 years,45-54,White,2106-3,Male,M,28,143137,19.6
,1999,1999,Arkansas,05,55-64 years,55-64,White,2106-3,Male,M,27,107914,25.0
,1999,1999,Arkansas,05,65-74 years,65-74,White,2106-3,Male,M,24,81289,29.5
,1999,1999,Arkansas,05,75-84 years,75-84,White,2106-3,Male,M,27,45920,58.8
,1999,1999,Arkansas,05,85+ years,85+,White,2106-3,Male,M,10,11435,Unreliable
,1999,1999,California,06,5-14 years,5-14,White,2106-3,Male,M,27,2095882,1.3
,1999,1999,California,06,15-24 years,15-24,Asian or Pacific Islander,A-PI,Male,M,42,307920,13.6
,1999,1999,California,06,15-24 years,15-24,Black or African American,2054-5,Female,F,14,180751,Unreliable
,1999,1999,California,06,15-24 years,15-24,Black or African American,2054-5,Male,M,191,190532,100.2
,1999,1999,California,06,15-24 years,15-24,White,2106-3,Female,F,54,1732123,3.1
,1999,1999,California,06,15-24 years,15-24,White,2106-3,Male,M,515,1916588,26.9
