Multiple,Other,Admin,Handgun,Long Gun,Number of Records,Permit (group) High,Permit (group) Low,Permit (group) Medium,Permit Recheck,Permit,Pre-Pawn Handgun,Pre-Pawn Long Gun,Pre-Pawn Other,Private Sale Other,Private Sale Handgun,Private Sale Long Gun,Redemption Other,Redemption Handgun,Redemption Long Gun,Rentals Handgun,Rentals Long Gun,Return to Seller - Private Sale Other,Return to Seller - Private Sale Handgun,Return to Seller - Private Sale Long Gun,Returned/Disposition Other,Returned/Disposition Handgun,Returned/Disposition Long Gun,State,Totals,Year
3971,4121,0,81965,42979,1,97978,97978,97978,1720,97978,124,63,8,14,117,71,53,9400,4714,0,0,0,3,6,0,13,0,Alabama,247320,2020
731,1110,0,9368,7187,1,505,505,505,21,505,1,1,1,4,21,30,4,565,391,0,0,0,0,0,0,91,80,Alaska,20111,2020
7260,5332,0,78342,34439,1,17550,17550,17550,2507,17550,50,27,1,9,46,28,20,4994,2151,0,0,0,1,0,3,296,39,Arizona,153095,2020
1795,1398,16,30037,19945,1,8512,8512,8512,2194,8512,56,48,2,8,56,30,9,3870,4240,0,0,3,2,1,0,0,0,Arkansas,72222,2020
0,13393,0,151997,93318,1,94488,94488,94488,0,94488,0,0,0,0,0,0,39,1965,1294,0,0,0,0,0,0,0,0,California,356494,2020
5532,5348,0,82867,45492,1,19792,19792,19792,0,19792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,809,132,Colorado,159987,2020
0,9583,27,20357,7438,1,17101,17101,17101,1143,17101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Connecticut,55649,2020
342,463,0,9135,5233,1,1099,1099,1099,0,1099,6,2,0,13,244,97,0,53,32,0,0,0,2,3,2,200,0,Delaware,16926,2020
2,0,1,369,13,1,1388,1388,1388,0,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,3,0,District of Columbia,1909,2020
11271,12722,1,232538,78644,1,59432,59432,59432,0,59432,68,33,2,103,869,448,28,14474,4469,0,0,4,156,155,18,2784,272,Florida,418491,2020
3712,2794,1,77702,32900,1,63895,63895,63895,2,63895,90,61,6,4,51,21,21,6301,3836,0,0,0,1,0,0,10,0,Georgia,191408,2020
24,31,0,486,203,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Guam,745,2020
0,0,0,0,0,1,4286,4286,4286,0,4286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Hawaii,4289,2020
1291,1632,0,21256,16171,1,22642,22642,22642,18,22642,20,14,4,2,19,17,2,1357,1420,0,0,0,0,0,4,113,24,Idaho,66006,2020
4261,0,0,89422,36476,1,71100,71100,71100,1676328,71100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Illinois,1877587,2020
