year,state,candidate,party,candidatevotes,totalvotes
2000,Alabama,"Bush, George W.",republican,941173,1666272
2004,Alabama,"Bush, George W.",republican,1176394,1883415
2008,Alabama,"McCain, John",republican,1266546,2099819
2012,Alabama,"Romney, Mitt",republican,1255925,2074338
2016,Alabama,"Trump, Donald J.",republican,1318255,2123372
2000,Alaska,"Bush, George W.",republican,167398,285560
2004,Alaska,"Bush, George W.",republican,190889,312598
2008,Alaska,"McCain, John",republican,193841,326197
2012,Alaska,"Romney, Mitt",republican,164676,300495
2016,Alaska,"Trump, Donald J.",republican,163387,318608
2000,Arizona,"Bush, George W.",republican,781652,1532016
2004,Arizona,"Bush, George W.",republican,1104294,2012585
2008,Arizona,"McCain, John",republican,1230111,2293475
2012,Arizona,"Romney, Mitt",republican,1233654,2299254
2016,Arizona,"Trump, Donald J.",republican,1252401,2573165
2000,Arkansas,"Bush, George W.",republican,472940,921781
2004,Arkansas,"Bush, George W.",republican,572898,1054945
2008,Arkansas,"McCain, John",republican,638017,1086617
2012,Arkansas,"Romney, Mitt",republican,647744,1069468
2016,Arkansas,"Trump, Donald J.",republican,684872,1130635
2000,California,"Gore, Al",democrat,5861203,10965822
2004,California,"Kerry, John",democrat,6745485,12421353
2008,California,"Obama, Barack H.",democrat,8274473,13561900
2012,California,"Obama, Barack H.",democrat,7854285,13038547
2016,California,"Clinton, Hillary",democrat,8753788,14181595
2000,Colorado,"Bush, George W.",republican,883748,1741368
2004,Colorado,"Bush, George W.",republican,1101255,2129630
2008,Colorado,"Obama, Barack H.",democrat,1288576,2401361
2012,Colorado,"Obama, Barack H.",democrat,1323101,2569516
2016,Colorado,"Clinton, Hillary",democrat,1338870,2780220
2000,Connecticut,"Gore, Al",democrat,816015,1459525
2004,Connecticut,"Kerry, John",democrat,857488,1578769
2008,Connecticut,"Obama, Barack H.",democrat,997772,1646792
2012,Connecticut,"Obama, Barack H.",democrat,905083,1558204
2016,Connecticut,"Clinton, Hillary",democrat,897572,1644920
2000,Delaware,"Gore, Al",democrat,180068,327529
2004,Delaware,"Kerry, John",democrat,200152,375190
2008,Delaware,"Obama, Barack H.",democrat,255459,412412
2012,Delaware,"Obama, Barack H.",democrat,242584,413890
2016,Delaware,"Clinton, Hillary",democrat,235603,441590
2000,District of Columbia,"Gore, Al",democrat,171923,201894
2004,District of Columbia,"Kerry, John",democrat,202970,227586
2008,District of Columbia,"Obama, Barack H.",democrat,245800,265853
2012,District of Columbia,"Obama, Barack H.",democrat,267070,293764
2016,District of Columbia,"Clinton, Hillary",democrat,282830,312575
2000,Florida,"Bush, George W.",republican,2912790,5963110
2004,Florida,"Bush, George W.",republican,3964522,7609810
2008,Florida,"Obama, Barack H.",democrat,4282074,8390744
2012,Florida,"Obama, Barack H.",democrat,4237756,8474179
2016,Florida,"Trump, Donald J.",republican,4617886,9420039
2000,Georgia,"Bush, George W.",republican,1419720,2583208
2004,Georgia,"Bush, George W.",republican,1914254,3301875
2008,Georgia,"McCain, John",republican,2048759,3924486
2012,Georgia,"Romney, Mitt",republican,2078688,3897839
2016,Georgia,"Trump, Donald J.",republican,2089104,4114732
2000,Hawaii,"Gore, Al",democrat,205286,367951
2004,Hawaii,"Kerry, John",democrat,231708,429013
2008,Hawaii,"Obama, Barack H.",democrat,325871,456064
2012,Hawaii,"Obama, Barack H.",democrat,306658,437159
2016,Hawaii,"Clinton, Hillary",democrat,266891,437664
2000,Idaho,"Bush, George W.",republican,336937,501615
2004,Idaho,"Bush, George W.",republican,409235,598376
2008,Idaho,"McCain, John",republican,403012,655122
2012,Idaho,"Romney, Mitt",republican,420911,652274
2016,Idaho,"Trump, Donald J.",republican,409055,690255
2000,Illinois,"Gore, Al",democrat,2589026,4742108
2004,Illinois,"Kerry, John",democrat,2891550,5274322
2008,Illinois,"Obama, Barack H.",democrat,3419348,5522371
2012,Illinois,"Obama, Barack H.",democrat,3019512,5242014
2016,Illinois,"Clinton, Hillary",democrat,3090729,5536424
2000,Indiana,"Bush, George W.",republican,1245836,2199302
2004,Indiana,"Bush, George W.",republican,1479438,2468002
2008,Indiana,"Obama, Barack H.",democrat,1374039,2751054
2012,Indiana,"Romney, Mitt",republican,1420543,2624534
2016,Indiana,"Trump, Donald J.",republican,1557286,2734958
2000,Iowa,"Gore, Al",democrat,638517,1353022
2004,Iowa,"Bush, George W.",republican,751957,1506908
2008,Iowa,"Obama, Barack H.",democrat,828940,1537123
2012,Iowa,"Obama, Barack H.",democrat,822544,1582180
2016,Iowa,"Trump, Donald J.",republican,800983,1565580
2000,Kansas,"Bush, George W.",republican,622332,1072216
2004,Kansas,"Bush, George W.",republican,736456,1187756
2008,Kansas,"McCain, John",republican,699655,1235872
2012,Kansas,"Romney, Mitt",republican,692634,1159971
2016,Kansas,"Trump, Donald J.",republican,671018,1184402
2000,Kentucky,"Bush, George W.",republican,872520,1544106
2004,Kentucky,"Bush, George W.",republican,1069439,1795882
2008,Kentucky,"McCain, John",republican,1048462,1826620
2012,Kentucky,"Romney, Mitt",republican,1087190,1797212
2016,Kentucky,"Trump, Donald J.",republican,1202971,1924149
2000,Louisiana,"Bush, George W.",republican,927871,1765656
2004,Louisiana,"Bush, George W.",republican,1102169,1943106
2008,Louisiana,"McCain, John",republican,1148275,1960761
2012,Louisiana,"Romney, Mitt",republican,1152262,1994065
2016,Louisiana,"Trump, Donald J.",republican,1178638,2029032
2000,Maine,"Gore, Al",democrat,319951,651817
2004,Maine,"Kerry, John",democrat,396842,740752
2008,Maine,"Obama, Barack H.",democrat,421923,731163
2012,Maine,"Obama, Barack H.",democrat,401306,724758
2016,Maine,"Clinton, Hillary",democrat,357735,771892
2000,Maryland,"Gore, Al",democrat,1144008,2025212
2004,Maryland,"Kerry, John",democrat,1334493,2384238
2008,Maryland,"Obama, Barack H.",democrat,1629467,2631596
2012,Maryland,"Obama, Barack H.",democrat,1677844,2707327
2016,Maryland,"Clinton, Hillary",democrat,1677928,2781446
2000,Massachusetts,"Gore, Al",democrat,1616487,2733964
2004,Massachusetts,"Kerry, John",democrat,1803800,2927455
2008,Massachusetts,"Obama, Barack H.",democrat,1904097,3102995
2012,Massachusetts,"Obama, Barack H.",democrat,1921290,3184196
2016,Massachusetts,"Clinton, Hillary",democrat,1995196,3378821
2000,Michigan,"Gore, Al",democrat,2170418,4232501
2004,Michigan,"Kerry, John",democrat,2479183,4839252
2008,Michigan,"Obama, Barack H.",democrat,2872579,5001596
2012,Michigan,"Obama, Barack H.",democrat,2564569,4730961
2016,Michigan,"Trump, Donald J.",republican,2279543,4799284
2000,Minnesota,"Gore, Al",democratic-farmer-labor,1168266,2438685
2004,Minnesota,"Kerry, John",democratic-farmer-labor,1445014,2828387
2008,Minnesota,"Obama, Barack H.",democrat,1573354,2910369
2012,Minnesota,"Obama, Barack H.",democratic-farmer-labor,1546167,2936561
2016,Minnesota,"Clinton, Hillary",democrat,1367705,2944782
