Year,Month,Source,Location,Event
2009,Jan-09,Wikipedia,National," Barack Obama becomes the 44th President, Joe Biden becomes Vice President. Obama is the first African-American to hold the office."
2009,Jan-09,Wikipedia,National," The first of a series of Tea Party protests are conducted across the United States, focusing on smaller government, fiscal responsibility, individual freedoms and conservative views of the Constitution."
2009,Feb-09,Wikipedia,National," U.S. President Barack Obama obtains Congressional approval for the $787 billion stimulus package, the largest since President Dwight D. Eisenhower."
2009,Jun-09,Wikipedia,California," Pop icon Michael Jackson dies, creating the largest public mourning for an entertainer since the death of Elvis Presley."
2009,Nov-09,Wikipedia,Texas, Nidal Malik Hasan kills 12 servicemen and injures 31 in the 2009 Fort Hood shooting.
2009,Feb-09,thoughtco,National,A federal law signed by President Barack Obama took effect allowing licensed gun owners to bring firearms into national parks and wildlife refuges as long as they are allowed by state law.
2010,Oct-10,Wikipedia,California, Instagram founded
2010,May-10,Wikipedia,Texas," The Deepwater Horizon oil rig in the Gulf of Mexico explodes, spilling millions of gallons of oil into the sea. The spill becomes the worst oil spill in American history."
2010,Nov-10,Wikipedia,National," In the 2010 Midterm elections, the Republicans retake the House of Representatives as the Democrats lose 63 seats."
2011,Jan-11,Wikipedia,Arizona," U.S. Representative Gabrielle Giffords is severely wounded in an assassination attempt when a gunman went on a shooting spree, killing federal judge John Roll and five other people, and wounding at least 13 others, at an event Giffords was hosting in suburban Tucson, Arizona"
2011,Oct-11,Wikipedia,National," The ATF gunwalking scandal emerged, wherein thousands of guns were allowed to ""walk"" through interdiction to Mexico, supposedly to aid in the capture of criminals."
2011,May-11,Wikipedia,Alabama," A series of tornadoes cause heavy damage in the South, Alabama being the hardest hit. 324 people are killed in the deadliest American natural disaster since Hurricane Katrina."
2011,May-11,Wikipedia,National," Osama bin Laden, leader of al-Qaeda and mastermind of the September 11 attacks, is killed in Abbottabad, Pakistan, by U.S. Navy SEALs."
2011,May-11,Wikipedia,National, Flooding devastates the Mississippi River valley causing $2 to $4 billion in damage.
2011,May-11,Wikipedia,Missouri," A tornado devastates Joplin, Missouri, killing 158 and injuring over 1,000, making it the deadliest single U.S. tornado since the advent of modern weather forecasting"
2011,Jul-11,Wikipedia,Florida," Casey Marie Anthony is acquitted of all charges related to her death of her daughter, Caylee; she was convicted of four counts of providing false information to a law enforcement officer. She was released a week later because of credit for time served."
2011,Jul-11,Wikipedia,National," STS-135: The Space Shuttle Atlantis touches down at the Shuttle Landing Facility at Kennedy Space Center, ending the 30-year shuttle program, which began with the launch of Space Shuttle Columbia on April 12, 1981."
2012,Jul-12,Wikipedia,Colorado," A gunman kills 12 and injures 70 at a movie theater in Aurora, Colorado."
2012,Nov-12,Wikipedia,National," U.S. presidential election, 2012: Barack Obama reelected president, Joe Biden reelected vice president."
2012,Dec-12,Wikipedia,Connecticut," A gunman kills 26, including 20 children, at the Sandy Hook Elementary School in Newtown, Connecticut."
2012,Nov-12,Wikipedia,National, Hurricane Sandy strikes the Eastern Seaboard.
2013,Jan-13,Wikipedia,National, President Obama and Vice President Biden begin their second terms.
2013,Feb-13,Wikipedia,California," Christopher Dorner murders three people in Southern California, starting the largest manhunt in Los Angeles history. His spree ends in Big Bear Lake, California where he barricades himself in a cabin, kills a second officer, before committing suicide."
2013,May-13,Wikipedia,National, Edward Snowden leaks highly classified documents from the National Security Agency.
2013,May-13,Wikipedia,Massachusetts," Terrorists attack the Boston Marathon by detonating two bombs at the finishing line of the race, killing three and injuring 283 runners and spectators. Suspects Tamerlan and Dzhokhar Tsarnaev then led Boston police on a high-speed chase, killing one officer at the Massachusetts Institute of Technology. Tamerlan was killed in a shootout with police and Dzhokhar was detained the day after."
2013,May-13,Wikipedia,Oklahoma," A tornado devastates suburbs near Oklahoma City, killing 24."
2013,Jun-13,Wikipedia,Colorado," The most destructive wildfire in Colorado history burns nearly 16,000 acres and kills two people(Black Forest)"
2013,Jun-13,Wikipedia,National," The Supreme Court strikes down the Defense of Marriage Act, which banned the federal recognition of same-sex marriages and refused to recognize the legal standing of proponents of Proposition 8, which resulted in the re-legalization of same-sex marriage in California."
2013,May-13,Wikipedia,National," Black Lives Matter emerges as a political movement, protesting against what it sees as widespread racial profiling, police brutality, and racial inequality in the United States criminal justice system."
2013,Dec-20,thoughtco,National,"The Undetectable Firearms Act of 1988, requiring that all guns must contain enough metal to be detectable by security screening machines was extended through 2035."
2014,Nov-14,Wikipedia,Missouri, A grand jury decides not to charge Officer Darren Wilson in the shooting death of Michael Brown inciting protests and riots against racism and police brutality in the St. Louis area.
2014,Nov-14,Wikipedia,National, The Republicans win the Senate in the Midterm elections.
2015,May-15,Wikipedia,Massachusetts, Dzhokhar Tsarnaev is convicted and sentenced to death for committing the Boston Marathon bombing.
2015,Jun-15,Wikipedia,National, Same-sex marriage is legalized in all 50 US states.
