year,state,candidate,party,candidatevotes,totalvotes
1976,Alabama,"Carter, Jimmy",democrat,659170,1182850
1980,Alabama,"Reagan, Ronald",republican,654192,1341929
1984,Alabama,"Reagan, Ronald",republican,872849,1441713
1988,Alabama,"Bush, George H.W.",republican,815576,1378476
1992,Alabama,"Bush, George H.W.",republican,804283,1688060
1996,Alabama,"Dole, Robert",republican,769044,1534349
2000,Alabama,"Bush, George W.",republican,941173,1666272
2004,Alabama,"Bush, George W.",republican,1176394,1883415
2008,Alabama,"McCain, John",republican,1266546,2099819
2012,Alabama,"Romney, Mitt",republican,1255925,2074338
2016,Alabama,"Trump, Donald J.",republican,1318255,2123372
1976,Alaska,"Ford, Gerald",republican,71555,123574
1980,Alaska,"Reagan, Ronald",republican,86112,158445
1984,Alaska,"Reagan, Ronald",republican,138377,207605
1988,Alaska,"Bush, George H.W.",republican,119251,200116
1992,Alaska,"Bush, George H.W.",republican,102000,258506
1996,Alaska,"Dole, Robert",republican,122746,241620
2000,Alaska,"Bush, George W.",republican,167398,285560
2004,Alaska,"Bush, George W.",republican,190889,312598
2008,Alaska,"McCain, John",republican,193841,326197
2012,Alaska,"Romney, Mitt",republican,164676,300495
2016,Alaska,"Trump, Donald J.",republican,163387,318608
1976,Arizona,"Ford, Gerald",republican,418642,742719
1980,Arizona,"Reagan, Ronald",republican,529688,873945
1984,Arizona,"Reagan, Ronald",republican,681416,1025897
1988,Arizona,"Bush, George H.W.",republican,702541,1171873
1992,Arizona,"Bush, George H.W.",republican,572086,1486975
1996,Arizona,"Clinton, Bill",democrat,653288,1404405
2000,Arizona,"Bush, George W.",republican,781652,1532016
2004,Arizona,"Bush, George W.",republican,1104294,2012585
2008,Arizona,"McCain, John",republican,1230111,2293475
2012,Arizona,"Romney, Mitt",republican,1233654,2299254
2016,Arizona,"Trump, Donald J.",republican,1252401,2573165
1976,Arkansas,"Carter, Jimmy",democrat,498604,767535
1980,Arkansas,"Reagan, Ronald",republican,403164,837582
1984,Arkansas,"Reagan, Ronald",republican,534774,884406
1988,Arkansas,"Bush, George H.W.",republican,466578,827738
1992,Arkansas,"Clinton, Bill",democrat,505823,950653
1996,Arkansas,"Clinton, Bill",democrat,475171,884262
2000,Arkansas,"Bush, George W.",republican,472940,921781
2004,Arkansas,"Bush, George W.",republican,572898,1054945
2008,Arkansas,"McCain, John",republican,638017,1086617
2012,Arkansas,"Romney, Mitt",republican,647744,1069468
2016,Arkansas,"Trump, Donald J.",republican,684872,1130635
1976,California,"Ford, Gerald",republican,3882244,7803770
1980,California,"Reagan, Ronald",republican,4522994,8582938
1984,California,"Reagan, Ronald",republican,5467009,9505041
1988,California,"Bush, George H.W.",republican,5054917,9887065
1992,California,"Clinton, Bill",democrat,5121325,11131721
1996,California,"Clinton, Bill",democrat,5119835,10019469
2000,California,"Gore, Al",democrat,5861203,10965822
2004,California,"Kerry, John",democrat,6745485,12421353
2008,California,"Obama, Barack H.",democrat,8274473,13561900
2012,California,"Obama, Barack H.",democrat,7854285,13038547
2016,California,"Clinton, Hillary",democrat,8753788,14181595
1976,Colorado,"Ford, Gerald",republican,584278,1081440
1980,Colorado,"Reagan, Ronald",republican,652264,1184450
1984,Colorado,"Reagan, Ronald",republican,821817,1295380
1988,Colorado,"Bush, George H.W.",republican,728177,1372394
1992,Colorado,"Clinton, Bill",democrat,629681,1569180
1996,Colorado,"Dole, Robert",republican,691848,1510702
2000,Colorado,"Bush, George W.",republican,883748,1741368
2004,Colorado,"Bush, George W.",republican,1101255,2129630
2008,Colorado,"Obama, Barack H.",democrat,1288576,2401361
2012,Colorado,"Obama, Barack H.",democrat,1323101,2569516
2016,Colorado,"Clinton, Hillary",democrat,1338870,2780220
1976,Connecticut,"Ford, Gerald",republican,719261,1386355
1980,Connecticut,"Reagan, Ronald",republican,677210,1406285
1984,Connecticut,"Reagan, Ronald",republican,890877,1466900
1988,Connecticut,"Bush, George H.W.",republican,750241,1443394
1992,Connecticut,"Clinton, Bill",democrat,682318,1616156
1996,Connecticut,"Clinton, Bill",democrat,735740,1392614
2000,Connecticut,"Gore, Al",democrat,816015,1459525
2004,Connecticut,"Kerry, John",democrat,857488,1578769
2008,Connecticut,"Obama, Barack H.",democrat,997772,1646792
2012,Connecticut,"Obama, Barack H.",democrat,905083,1558204
2016,Connecticut,"Clinton, Hillary",democrat,897572,1644920
1976,Delaware,"Carter, Jimmy",democrat,122461,235642
1980,Delaware,"Reagan, Ronald",republican,111252,235668
1984,Delaware,"Reagan, Ronald",republican,152190,254572
1988,Delaware,"Bush, George H.W.",republican,139639,249891
1992,Delaware,"Clinton, Bill",democrat,126054,289620
1996,Delaware,"Clinton, Bill",democrat,140355,270810
2000,Delaware,"Gore, Al",democrat,180068,327529
2004,Delaware,"Kerry, John",democrat,200152,375190
2008,Delaware,"Obama, Barack H.",democrat,255459,412412
2012,Delaware,"Obama, Barack H.",democrat,242584,413890
2016,Delaware,"Clinton, Hillary",democrat,235603,441590
1976,District of Columbia,"Carter, Jimmy",democrat,137818,168830
1980,District of Columbia,"Carter, Jimmy",democrat,130231,173889
